,lemma,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
397,chlebek,19,0.004824784154393093,18,0.021251475796930343
1611,maj,19,0.004824784154393093,12,0.014167650531286895
2790,rysować,19,0.004824784154393093,18,0.021251475796930343
1885,naprawić,19,0.004824784154393093,16,0.018890200708382526
2720,razem,19,0.004824784154393093,16,0.018890200708382526
1464,kupa,19,0.004824784154393093,16,0.018890200708382526
583,deszcz,19,0.004824784154393093,17,0.020070838252656435
3030,sukienka,19,0.004824784154393093,15,0.01770956316410862
3684,zbudować,19,0.004824784154393093,18,0.021251475796930343
800,fajny,18,0.0045708481462671405,15,0.01770956316410862
545,czytać,18,0.0045708481462671405,17,0.020070838252656435
2377,pociąg,18,0.0045708481462671405,14,0.01652892561983471
2861,siedzieć,18,0.0045708481462671405,15,0.01770956316410862
2140,otworzyć,18,0.0045708481462671405,18,0.021251475796930343
2318,piękny,18,0.0045708481462671405,16,0.018890200708382526
671,dwa,18,0.0045708481462671405,16,0.018890200708382526
2535,położyć,18,0.0045708481462671405,14,0.01652892561983471
740,dziękować,18,0.0045708481462671405,14,0.01652892561983471
3477,wstawać,18,0.0045708481462671405,17,0.020070838252656435
3080,szukać,18,0.0045708481462671405,16,0.018890200708382526
3382,wczoraj,18,0.0045708481462671405,16,0.018890200708382526
556,daleko,17,0.004316912138141189,15,0.01770956316410862
2571,przeczytać,17,0.004316912138141189,17,0.020070838252656435
2960,spaść,17,0.004316912138141189,14,0.01652892561983471
1434,książka,17,0.004316912138141189,16,0.018890200708382526
2280,pieska,17,0.004316912138141189,16,0.018890200708382526
1446,kubuś,17,0.004316912138141189,15,0.01770956316410862
3577,włos,17,0.004316912138141189,14,0.01652892561983471
95,ania,17,0.004316912138141189,10,0.011806375442739079
3154,telefon,17,0.004316912138141189,16,0.018890200708382526
2976,sprzątać,17,0.004316912138141189,16,0.018890200708382526
2148,oć,17,0.004316912138141189,8,0.009445100354191263
2307,pisać,17,0.004316912138141189,15,0.01770956316410862
2436,pole,16,0.004062976130015236,16,0.018890200708382526
926,guma,16,0.004062976130015236,12,0.014167650531286895
1022,inny,16,0.004062976130015236,13,0.015348288075560802
3797,zuzień,16,0.004062976130015236,11,0.012987012987012988
3002,sto,16,0.004062976130015236,9,0.010625737898465172
3455,wolno,16,0.004062976130015236,15,0.01770956316410862
3779,zostać,16,0.004062976130015236,14,0.01652892561983471
1112,jogurt,16,0.004062976130015236,15,0.01770956316410862
1216,kaszka,16,0.004062976130015236,14,0.01652892561983471
2476,popatrzeć,16,0.004062976130015236,14,0.01652892561983471
610,doktor,16,0.004062976130015236,14,0.01652892561983471
1783,mleczko,16,0.004062976130015236,14,0.01652892561983471
3864,łóżko,16,0.004062976130015236,16,0.018890200708382526
2759,rowerek,16,0.004062976130015236,16,0.018890200708382526
435,chyba,16,0.004062976130015236,15,0.01770956316410862
465,ciemno,16,0.004062976130015236,16,0.018890200708382526
2296,piosenka,15,0.003809040121889284,15,0.01770956316410862
2676,pyszny,15,0.003809040121889284,15,0.01770956316410862
1345,koparka,15,0.003809040121889284,13,0.015348288075560802
1370,kot,15,0.003809040121889284,13,0.015348288075560802
3298,uderzyć,15,0.003809040121889284,15,0.01770956316410862
747,dzwonić,15,0.003809040121889284,13,0.015348288075560802
1522,lecieć,15,0.003809040121889284,15,0.01770956316410862
722,dziewczynka,15,0.003809040121889284,14,0.01652892561983471
2826,samolot,15,0.003809040121889284,14,0.01652892561983471
1919,nic,15,0.003809040121889284,15,0.01770956316410862
2276,pies,15,0.003809040121889284,11,0.012987012987012988
704,dzidzie,15,0.003809040121889284,9,0.010625737898465172
2668,puzzła,15,0.003809040121889284,13,0.015348288075560802
2427,pokazać,15,0.003809040121889284,12,0.014167650531286895
3478,wstać,15,0.003809040121889284,14,0.01652892561983471
1832,myj,15,0.003809040121889284,9,0.010625737898465172
2210,patrzeć,15,0.003809040121889284,10,0.011806375442739079
312,brzuch,14,0.0035551041137633316,13,0.015348288075560802
2194,park,14,0.0035551041137633316,13,0.015348288075560802
1129,julia,14,0.0035551041137633316,9,0.010625737898465172
124,autobus,14,0.0035551041137633316,14,0.01652892561983471
122,autko,14,0.0035551041137633316,11,0.012987012987012988
1072,jasio,14,0.0035551041137633316,7,0.008264462809917356
647,drzewo,14,0.0035551041137633316,13,0.015348288075560802
3894,śpiewać,14,0.0035551041137633316,14,0.01652892561983471
749,dół,14,0.0035551041137633316,13,0.015348288075560802
2850,serka,14,0.0035551041137633316,13,0.015348288075560802
1223,kawa,14,0.0035551041137633316,13,0.015348288075560802
3889,śniadanko,14,0.0035551041137633316,14,0.01652892561983471
355,bułka,14,0.0035551041137633316,13,0.015348288075560802
3641,zapalić,14,0.0035551041137633316,13,0.015348288075560802
2618,przytulić,14,0.0035551041137633316,12,0.014167650531286895
1335,konik,14,0.0035551041137633316,14,0.01652892561983471
2782,ruszać,14,0.0035551041137633316,13,0.015348288075560802
2854,siadać,14,0.0035551041137633316,12,0.014167650531286895
170,bajeczka,14,0.0035551041137633316,13,0.015348288075560802
2198,parówka,13,0.003301168105637379,13,0.015348288075560802
2523,poukładać,13,0.003301168105637379,11,0.012987012987012988
1527,lekarz,13,0.003301168105637379,13,0.015348288075560802
3448,woda,13,0.003301168105637379,12,0.014167650531286895
334,bum,13,0.003301168105637379,10,0.011806375442739079
1314,kolega,13,0.003301168105637379,11,0.012987012987012988
996,huśtawka,13,0.003301168105637379,12,0.014167650531286895
1055,jajo,13,0.003301168105637379,11,0.012987012987012988
1605,madzia,13,0.003301168105637379,7,0.008264462809917356
520,czapka,13,0.003301168105637379,12,0.014167650531286895
1887,narysować,13,0.003301168105637379,13,0.015348288075560802
1727,michał,13,0.003301168105637379,7,0.008264462809917356
3494,wy,13,0.003301168105637379,9,0.010625737898465172
1736,mieszkać,13,0.003301168105637379,12,0.014167650531286895
1893,nasz,13,0.003301168105637379,12,0.014167650531286895
3827,ładnie,13,0.003301168105637379,12,0.014167650531286895
296,brat,13,0.003301168105637379,9,0.010625737898465172
3816,zły,13,0.003301168105637379,12,0.014167650531286895
165,baj,13,0.003301168105637379,9,0.010625737898465172
1797,mocno,13,0.003301168105637379,12,0.014167650531286895
949,głowa,13,0.003301168105637379,13,0.015348288075560802
696,dziadziuś,13,0.003301168105637379,11,0.012987012987012988
707,dzidziuś,13,0.003301168105637379,11,0.012987012987012988
305,brudny,13,0.003301168105637379,12,0.014167650531286895
374,cały,13,0.003301168105637379,12,0.014167650531286895
3110,słuchać,12,0.0030472320975114273,10,0.011806375442739079
3613,zadzwonić,12,0.0030472320975114273,11,0.012987012987012988
1895,natalka,12,0.0030472320975114273,6,0.0070838252656434475
2281,piesko,12,0.0030472320975114273,11,0.012987012987012988
348,buza,12,0.0030472320975114273,11,0.012987012987012988
426,chrupka,12,0.0030472320975114273,11,0.012987012987012988
3547,wyspać,12,0.0030472320975114273,12,0.014167650531286895
3203,tosia,12,0.0030472320975114273,4,0.004722550177095631
1880,napisać,12,0.0030472320975114273,8,0.009445100354191263
441,chłopak,12,0.0030472320975114273,8,0.009445100354191263
702,dzidza,12,0.0030472320975114273,9,0.010625737898465172
2944,sok,12,0.0030472320975114273,11,0.012987012987012988
2543,pracować,12,0.0030472320975114273,11,0.012987012987012988
2838,schować,12,0.0030472320975114273,11,0.012987012987012988
3807,ząb,12,0.0030472320975114273,10,0.011806375442739079
875,godzina,12,0.0030472320975114273,11,0.012987012987012988
1054,jajko,12,0.0030472320975114273,11,0.012987012987012988
1282,klocka,12,0.0030472320975114273,12,0.014167650531286895
2686,późno,12,0.0030472320975114273,12,0.014167650531286895
1311,kolacja,12,0.0030472320975114273,11,0.012987012987012988
2784,ryba,12,0.0030472320975114273,12,0.014167650531286895
2913,skończyć,12,0.0030472320975114273,12,0.014167650531286895
1159,kakao,12,0.0030472320975114273,12,0.014167650531286895
2538,pożar,11,0.002793296089385475,10,0.011806375442739079
847,garaż,11,0.002793296089385475,11,0.012987012987012988
1691,masło,11,0.002793296089385475,11,0.012987012987012988
2175,palić,11,0.002793296089385475,10,0.011806375442739079
2804,ręka,11,0.002793296089385475,11,0.012987012987012988
3905,świecić,11,0.002793296089385475,11,0.012987012987012988
1641,malutki,11,0.002793296089385475,10,0.011806375442739079
1058,jakiś,11,0.002793296089385475,11,0.012987012987012988
453,ciastko,11,0.002793296089385475,11,0.012987012987012988
2967,spodnie,11,0.002793296089385475,9,0.010625737898465172
3536,wypić,11,0.002793296089385475,10,0.011806375442739079
3907,świnka,11,0.002793296089385475,7,0.008264462809917356
2935,smutny,11,0.002793296089385475,11,0.012987012987012988
3937,żłobko,11,0.002793296089385475,10,0.011806375442739079
3103,słoneczko,11,0.002793296089385475,10,0.011806375442739079
3724,zielony,11,0.002793296089385475,9,0.010625737898465172
3304,ugotować,11,0.002793296089385475,11,0.012987012987012988
2509,posprzątać,11,0.002793296089385475,10,0.011806375442739079
2403,podwórko,11,0.002793296089385475,10,0.011806375442739079
2451,pomagać,11,0.002793296089385475,10,0.011806375442739079
1447,kuchnia,11,0.002793296089385475,10,0.011806375442739079
3294,uczyć,11,0.002793296089385475,10,0.011806375442739079
242,biegać,11,0.002793296089385475,10,0.011806375442739079
2670,puść,10,0.0025393600812595226,10,0.011806375442739079
3707,zepsuć,10,0.0025393600812595226,10,0.011806375442739079
3890,śnieg,10,0.0025393600812595226,10,0.011806375442739079
2705,pływać,10,0.0025393600812595226,8,0.009445100354191263
1382,koło,10,0.0025393600812595226,7,0.008264462809917356
2955,spacerko,10,0.0025393600812595226,9,0.010625737898465172
3901,świat,10,0.0025393600812595226,10,0.011806375442739079
608,dobrze,10,0.0025393600812595226,9,0.010625737898465172
1304,kocyk,10,0.0025393600812595226,9,0.010625737898465172
1808,motor,10,0.0025393600812595226,8,0.009445100354191263
3371,wakacje,10,0.0025393600812595226,7,0.008264462809917356
1866,najpierw,10,0.0025393600812595226,8,0.009445100354191263
1346,kopać,10,0.0025393600812595226,8,0.009445100354191263
888,gotować,10,0.0025393600812595226,10,0.011806375442739079
3263,tymek,10,0.0025393600812595226,2,0.0023612750885478157
259,bluzka,10,0.0025393600812595226,8,0.009445100354191263
961,halo,10,0.0025393600812595226,9,0.010625737898465172
2588,przeszkadzać,10,0.0025393600812595226,9,0.010625737898465172
3196,tomek,10,0.0025393600812595226,8,0.009445100354191263
3097,słodki,10,0.0025393600812595226,9,0.010625737898465172
2384,pod,10,0.0025393600812595226,10,0.011806375442739079
3808,ząbek,10,0.0025393600812595226,10,0.011806375442739079
2034,oddać,10,0.0025393600812595226,10,0.011806375442739079
2583,przepraszać,10,0.0025393600812595226,10,0.011806375442739079
3011,strażak,10,0.0025393600812595226,10,0.011806375442739079
3765,znowu,10,0.0025393600812595226,9,0.010625737898465172
3511,wyglądać,10,0.0025393600812595226,8,0.009445100354191263
3778,zostawić,10,0.0025393600812595226,10,0.011806375442739079
3761,znaleźć,10,0.0025393600812595226,10,0.011806375442739079
1671,marchewka,10,0.0025393600812595226,8,0.009445100354191263
813,filip,10,0.0025393600812595226,7,0.008264462809917356
1682,marysie,10,0.0025393600812595226,8,0.009445100354191263
2426,pokaz,10,0.0025393600812595226,9,0.010625737898465172
1921,niebieski,10,0.0025393600812595226,10,0.011806375442739079
1439,ktoś,10,0.0025393600812595226,8,0.009445100354191263
1470,kupka,10,0.0025393600812595226,10,0.011806375442739079
452,ciasteczko,9,0.0022854240731335703,8,0.009445100354191263
459,cicho,9,0.0022854240731335703,9,0.010625737898465172
1904,nazywać,9,0.0022854240731335703,9,0.010625737898465172
3932,żyć,9,0.0022854240731335703,6,0.0070838252656434475
804,farba,9,0.0022854240731335703,9,0.010625737898465172
1973,nocnik,9,0.0022854240731335703,7,0.008264462809917356
2021,obrazek,9,0.0022854240731335703,9,0.010625737898465172
1881,napić,9,0.0022854240731335703,9,0.010625737898465172
3792,zuza,9,0.0022854240731335703,7,0.008264462809917356
605,dobranoc,9,0.0022854240731335703,8,0.009445100354191263
1262,kino,9,0.0022854240731335703,6,0.0070838252656434475
570,dawno,9,0.0022854240731335703,4,0.004722550177095631
1210,kasia,9,0.0022854240731335703,7,0.008264462809917356
568,dawać,9,0.0022854240731335703,9,0.010625737898465172
3772,zoo,9,0.0022854240731335703,7,0.008264462809917356
649,drzwi,9,0.0022854240731335703,9,0.010625737898465172
