,lemma_18_20m,liczba_wystapien_18_20m,czestosc_wystapien_18_20m,liczba_dzieci_18_20m,czestosc_dzieci_18_20m,lemma_21_23m,liczba_wystapien_21_23m,czestosc_wystapien_21_23m,liczba_dzieci_21_23m,czestosc_dzieci_21_23m,lemma_24_26m,liczba_wystapien_24_26m,czestosc_wystapien_24_26m,liczba_dzieci_24_26m,czestosc_dzieci_24_26m,lemma_27_29m,liczba_wystapien_27_29m,czestosc_wystapien_27_29m,liczba_dzieci_27_29m,czestosc_dzieci_27_29m,lemma_30_32m,liczba_wystapien_30_32m,czestosc_wystapien_30_32m,liczba_dzieci_30_32m,czestosc_dzieci_30_32m,lemma_33_40m,liczba_wystapien_33_40m,czestosc_wystapien_33_40m,liczba_dzieci_33_40m,czestosc_dzieci_33_40m
37,już,13.0,0.01867816091954023,11.0,0.05612244897959184,lal,27.0,0.02112676056338028,17.0,0.06563706563706563,auto,44.0,0.02336696760488582,29.0,0.08734939759036145,on,53.0,0.027151639344262294,37.0,0.10914454277286136,pojechać,74.0,0.03225806451612903,50.0,0.13054830287206268,co,109,0.03870738636363636,79,0.16024340770791076
38,baj,12.0,0.017241379310344827,8.0,0.04081632653061224,oć,25.0,0.019561815336463225,15.0,0.05791505791505792,mamusia,39.0,0.020711630377057887,24.0,0.07228915662650602,bo,52.0,0.02663934426229508,30.0,0.08849557522123894,zrobić,72.0,0.03138622493461203,57.0,0.14882506527415143,pojechać,108,0.03835227272727273,82,0.1663286004056795
39,miś,12.0,0.017241379310344827,9.0,0.04591836734693878,dziadzie,25.0,0.019561815336463225,20.0,0.07722007722007722,jeść,39.0,0.020711630377057887,33.0,0.09939759036144578,pojechać,51.0,0.02612704918032787,42.0,0.12389380530973451,bajka,71.0,0.03095030514385353,62.0,0.1618798955613577,bawić,102,0.03622159090909091,79,0.16024340770791076
40,mniać,12.0,0.017241379310344827,7.0,0.03571428571428571,pa,22.0,0.017214397496087636,12.0,0.04633204633204633,móc,38.0,0.0201805629314923,29.0,0.08734939759036145,baba,51.0,0.02612704918032787,35.0,0.10324483775811209,tam,70.0,0.03051438535309503,47.0,0.1227154046997389,jeść,100,0.03551136363636364,84,0.17038539553752535
41,praca,12.0,0.017241379310344827,12.0,0.061224489795918366,bawić,21.0,0.01643192488262911,17.0,0.06563706563706563,ten,37.0,0.01964949548592671,28.0,0.08433734939759036,kochać,50.0,0.025614754098360656,42.0,0.12389380530973451,jeść,69.0,0.03007846556233653,61.0,0.15926892950391644,praca,98,0.03480113636363636,81,0.1643002028397566
42,z,11.0,0.015804597701149427,5.0,0.025510204081632654,mamusia,21.0,0.01643192488262911,16.0,0.06177606177606178,kochać,36.0,0.019118428040361127,26.0,0.0783132530120482,robić,50.0,0.025614754098360656,42.0,0.12389380530973451,już,67.0,0.02920662598081953,51.0,0.13315926892950392,włączyć,96,0.03409090909090909,77,0.15618661257606492
43,auto,11.0,0.015804597701149427,7.0,0.03571428571428571,buma,20.0,0.01564945226917058,10.0,0.03861003861003861,dom,36.0,0.019118428040361127,29.0,0.08734939759036145,sklep,50.0,0.025614754098360656,44.0,0.12979351032448377,bawić,58.0,0.025283347863993024,47.0,0.1227154046997389,chodzić,94,0.033380681818181816,76,0.15415821501014199
44,tutaj,11.0,0.015804597701149427,6.0,0.030612244897959183,dzidza,20.0,0.01564945226917058,8.0,0.03088803088803089,ciocia,36.0,0.019118428040361127,32.0,0.0963855421686747,jak,49.0,0.025102459016393443,34.0,0.10029498525073746,tatuś,57.0,0.024847428073234524,37.0,0.09660574412532637,mamusia,94,0.033380681818181816,61,0.12373225152129817
45,papa,11.0,0.015804597701149427,8.0,0.04081632653061224,choć,19.0,0.01486697965571205,14.0,0.05405405405405406,mleko,36.0,0.019118428040361127,31.0,0.09337349397590361,już,48.0,0.02459016393442623,38.0,0.11209439528023599,przedszkole,53.0,0.023103748910200523,39.0,0.10182767624020887,czy,93,0.033025568181818184,56,0.11359026369168357
46,ciocia,11.0,0.015804597701149427,8.0,0.04081632653061224,a,19.0,0.01486697965571205,13.0,0.05019305019305019,dziadzie,36.0,0.019118428040361127,24.0,0.07228915662650602,zrobić,48.0,0.02459016393442623,36.0,0.10619469026548672,lubić,51.0,0.022231909328683522,42.0,0.10966057441253264,tu,92,0.032670454545454544,64,0.12981744421906694
