,slowo,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
1359,halo,11,0.0018367006177992986,10,0.011806375442739079
1485,jadła,11,0.0018367006177992986,11,0.012987012987012988
865,doktor,11,0.0018367006177992986,10,0.011806375442739079
1820,klockami,11,0.0018367006177992986,11,0.012987012987012988
4796,tosia,11,0.0018367006177992986,4,0.004722550177095631
4599,szkole,11,0.0018367006177992986,9,0.010625737898465172
2600,mniam,11,0.0018367006177992986,6,0.0070838252656434475
3487,pociąg,11,0.0018367006177992986,9,0.010625737898465172
4733,telefon,11,0.0018367006177992986,10,0.011806375442739079
5987,żłobka,11,0.0018367006177992986,10,0.011806375442739079
2191,lalka,11,0.0018367006177992986,10,0.011806375442739079
525,chciałam,11,0.0018367006177992986,11,0.012987012987012988
2134,kupiła,11,0.0018367006177992986,11,0.012987012987012988
2133,kupił,11,0.0018367006177992986,9,0.010625737898465172
2004,kredki,11,0.0018367006177992986,11,0.012987012987012988
2408,mamusi,11,0.0018367006177992986,11,0.012987012987012988
2218,leci,11,0.0018367006177992986,11,0.012987012987012988
4102,rower,11,0.0018367006177992986,10,0.011806375442739079
2090,kubusia,11,0.0018367006177992986,10,0.011806375442739079
337,boję,10,0.0016697278343629988,9,0.010625737898465172
1845,kochana,10,0.0016697278343629988,9,0.010625737898465172
3968,puść,10,0.0016697278343629988,10,0.011806375442739079
3301,picia,10,0.0016697278343629988,9,0.010625737898465172
1149,filip,10,0.0016697278343629988,7,0.008264462809917356
695,cukierka,10,0.0016697278343629988,10,0.011806375442739079
4012,płakał,10,0.0016697278343629988,10,0.011806375442739079
5706,znowu,10,0.0016697278343629988,9,0.010625737898465172
5715,zobaczyć,10,0.0016697278343629988,10,0.011806375442739079
1495,jajo,10,0.0016697278343629988,9,0.010625737898465172
1497,jaka,10,0.0016697278343629988,9,0.010625737898465172
742,czerwony,10,0.0016697278343629988,8,0.009445100354191263
1009,dzidziuś,10,0.0016697278343629988,8,0.009445100354191263
1563,jem,10,0.0016697278343629988,9,0.010625737898465172
483,będe,10,0.0016697278343629988,7,0.008264462809917356
3339,pies,10,0.0016697278343629988,8,0.009445100354191263
2442,marysia,10,0.0016697278343629988,8,0.009445100354191263
696,cukierki,10,0.0016697278343629988,9,0.010625737898465172
902,dostanę,10,0.0016697278343629988,8,0.009445100354191263
2473,małe,10,0.0016697278343629988,9,0.010625737898465172
3730,powiedział,10,0.0016697278343629988,8,0.009445100354191263
2740,najpierw,10,0.0016697278343629988,8,0.009445100354191263
2665,musi,10,0.0016697278343629988,10,0.011806375442739079
2419,mamę,10,0.0016697278343629988,10,0.011806375442739079
2734,najbardziej,10,0.0016697278343629988,10,0.011806375442739079
4410,spacerku,10,0.0016697278343629988,9,0.010625737898465172
3505,pod,10,0.0016697278343629988,10,0.011806375442739079
3769,pracuje,10,0.0016697278343629988,9,0.010625737898465172
164,baje,10,0.0016697278343629988,8,0.009445100354191263
951,duże,10,0.0016697278343629988,9,0.010625737898465172
1737,kaszkę,10,0.0016697278343629988,10,0.011806375442739079
5910,śnieg,10,0.0016697278343629988,10,0.011806375442739079
5819,ładna,10,0.0016697278343629988,9,0.010625737898465172
1902,komputerze,10,0.0016697278343629988,8,0.009445100354191263
3827,przepraszam,10,0.0016697278343629988,10,0.011806375442739079
5094,weź,10,0.0016697278343629988,9,0.010625737898465172
4456,sprzątać,10,0.0016697278343629988,10,0.011806375442739079
5791,zęby,10,0.0016697278343629988,9,0.010625737898465172
5719,zoo,9,0.001502755050926699,7,0.008264462809917356
4152,rysować,9,0.001502755050926699,9,0.010625737898465172
5749,zrobię,9,0.001502755050926699,8,0.009445100354191263
5751,zrobiła,9,0.001502755050926699,9,0.010625737898465172
2140,kupkę,9,0.001502755050926699,9,0.010625737898465172
2098,kuchni,9,0.001502755050926699,8,0.009445100354191263
2076,ktoś,9,0.001502755050926699,7,0.008264462809917356
5938,świeci,9,0.001502755050926699,9,0.010625737898465172
5873,łóżku,9,0.001502755050926699,9,0.010625737898465172
1959,kot,9,0.001502755050926699,7,0.008264462809917356
2508,miał,9,0.001502755050926699,8,0.009445100354191263
625,ciastko,9,0.001502755050926699,9,0.010625737898465172
2516,michała,9,0.001502755050926699,5,0.0059031877213695395
631,cicho,9,0.001502755050926699,9,0.010625737898465172
2538,mikołaja,9,0.001502755050926699,9,0.010625737898465172
5820,ładne,9,0.001502755050926699,9,0.010625737898465172
1869,kolację,9,0.001502755050926699,8,0.009445100354191263
2623,moim,9,0.001502755050926699,8,0.009445100354191263
113,autobusem,9,0.001502755050926699,9,0.010625737898465172
2771,napić,9,0.001502755050926699,9,0.010625737898465172
3533,podwórko,9,0.001502755050926699,8,0.009445100354191263
1726,kasia,9,0.001502755050926699,7,0.008264462809917356
3372,piosenki,9,0.001502755050926699,9,0.010625737898465172
1487,jadłem,9,0.001502755050926699,7,0.008264462809917356
809,dawno,9,0.001502755050926699,4,0.004722550177095631
3584,pole,9,0.001502755050926699,9,0.010625737898465172
3600,polko,9,0.001502755050926699,8,0.009445100354191263
3355,pije,9,0.001502755050926699,8,0.009445100354191263
