,lemat,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
1314,kolega,13,0.0033003300330033004,11,0.012987012987012988
333,bum,13,0.0033003300330033004,10,0.011806375442739079
3447,woda,13,0.0033003300330033004,12,0.014167650531286895
3493,wy,13,0.0033003300330033004,9,0.010625737898465172
2197,parówka,13,0.0033003300330033004,13,0.015348288075560802
1796,mocno,13,0.0033003300330033004,12,0.014167650531286895
1054,jajo,13,0.0033003300330033004,11,0.012987012987012988
1604,madzia,13,0.0033003300330033004,7,0.008264462809917356
1527,lekarz,13,0.0033003300330033004,13,0.015348288075560802
3826,ładnie,13,0.0033003300330033004,12,0.014167650531286895
948,głowa,13,0.0033003300330033004,13,0.015348288075560802
373,cały,13,0.0033003300330033004,12,0.014167650531286895
1735,mieszkać,13,0.0033003300330033004,12,0.014167650531286895
3815,zły,13,0.0033003300330033004,12,0.014167650531286895
165,baj,13,0.0033003300330033004,9,0.010625737898465172
304,brudny,13,0.0033003300330033004,12,0.014167650531286895
2522,poukładać,13,0.0033003300330033004,11,0.012987012987012988
1886,narysować,13,0.0033003300330033004,13,0.015348288075560802
519,czapka,13,0.0033003300330033004,12,0.014167650531286895
1892,nasz,13,0.0033003300330033004,12,0.014167650531286895
695,dziadziuś,13,0.0033003300330033004,11,0.012987012987012988
1726,michał,13,0.0033003300330033004,7,0.008264462809917356
295,brat,13,0.0033003300330033004,9,0.010625737898465172
706,dzidziuś,13,0.0033003300330033004,11,0.012987012987012988
1053,jajko,12,0.0030464584920030465,11,0.012987012987012988
1282,klocka,12,0.0030464584920030465,12,0.014167650531286895
3546,wyspać,12,0.0030464584920030465,12,0.014167650531286895
347,buza,12,0.0030464584920030465,11,0.012987012987012988
3202,tosia,12,0.0030464584920030465,4,0.004722550177095631
2542,pracować,12,0.0030464584920030465,11,0.012987012987012988
2685,późno,12,0.0030464584920030465,12,0.014167650531286895
2912,skończyć,12,0.0030464584920030465,12,0.014167650531286895
3109,słuchać,12,0.0030464584920030465,10,0.011806375442739079
2280,piesko,12,0.0030464584920030465,11,0.012987012987012988
2943,sok,12,0.0030464584920030465,11,0.012987012987012988
874,godzina,12,0.0030464584920030465,11,0.012987012987012988
2837,schować,12,0.0030464584920030465,11,0.012987012987012988
440,chłopak,12,0.0030464584920030465,8,0.009445100354191263
1159,kakao,12,0.0030464584920030465,12,0.014167650531286895
3806,ząb,12,0.0030464584920030465,10,0.011806375442739079
3612,zadzwonić,12,0.0030464584920030465,11,0.012987012987012988
701,dzidza,12,0.0030464584920030465,9,0.010625737898465172
1311,kolacja,12,0.0030464584920030465,11,0.012987012987012988
425,chrupka,12,0.0030464584920030465,11,0.012987012987012988
2783,ryba,12,0.0030464584920030465,12,0.014167650531286895
1894,natalka,12,0.0030464584920030465,6,0.0070838252656434475
1879,napisać,12,0.0030464584920030465,8,0.009445100354191263
3535,wypić,11,0.0027925869510027927,10,0.011806375442739079
3293,uczyć,11,0.0027925869510027927,10,0.011806375442739079
3723,zielony,11,0.0027925869510027927,9,0.010625737898465172
2934,smutny,11,0.0027925869510027927,11,0.012987012987012988
2803,ręka,11,0.0027925869510027927,11,0.012987012987012988
2966,spodnie,11,0.0027925869510027927,9,0.010625737898465172
2174,palić,11,0.0027925869510027927,10,0.011806375442739079
846,garaż,11,0.0027925869510027927,11,0.012987012987012988
3303,ugotować,11,0.0027925869510027927,11,0.012987012987012988
3938,żłobko,11,0.0027925869510027927,10,0.011806375442739079
242,biegać,11,0.0027925869510027927,10,0.011806375442739079
2402,podwórko,11,0.0027925869510027927,10,0.011806375442739079
3102,słoneczko,11,0.0027925869510027927,10,0.011806375442739079
2508,posprzątać,11,0.0027925869510027927,10,0.011806375442739079
1640,malutki,11,0.0027925869510027927,10,0.011806375442739079
452,ciastko,11,0.0027925869510027927,11,0.012987012987012988
2450,pomagać,11,0.0027925869510027927,10,0.011806375442739079
1690,masło,11,0.0027925869510027927,11,0.012987012987012988
2537,pożar,11,0.0027925869510027927,10,0.011806375442739079
1447,kuchnia,11,0.0027925869510027927,10,0.011806375442739079
1058,jakiś,11,0.0027925869510027927,11,0.012987012987012988
3906,świnka,11,0.0027925869510027927,7,0.008264462809917356
